accuracy,macro_f1,mae,f1_birads2,f1_birads3,f1_birads4,f1_birads5,loss,fold,aug
0.5813333333333334,0.5799209712133442,0.4746666666666667,0.67,0.5178571428571429,0.576271186440678,0.5555555555555556,0.1278883529106776,1,geometric
0.6506666666666666,0.6326521564015217,0.39466666666666667,0.7214611872146118,0.5876777251184834,0.6640926640926641,0.5573770491803278,0.10130134971936544,2,geometric
0.648,0.6484516015164937,0.4026666666666667,0.7064220183486238,0.5490196078431373,0.6716981132075471,0.6666666666666666,0.10417218812306722,3,geometric
0.6026666666666667,0.5950907037162545,0.4826666666666667,0.6784140969162996,0.5538461538461539,0.584,0.5641025641025641,0.12545045427481333,4,geometric
0.6,0.6146736193151224,0.4533333333333333,0.7033898305084746,0.49122807017543857,0.5765765765765766,0.6875,0.116668239514033,5,geometric
